Wavelength(nm)	n	k
1087.3	1.5062	2.87E-07
1092.1	1.5062	2.86E-07
1097.2	1.5061	2.85E-07
1106.1	1.506	2.83E-07
1121.6	1.5058	2.8E-07
1137.1	1.5056	2.77E-07
1152.5	1.5054	2.74E-07
1167.9	1.5052	2.71E-07
1183.3	1.505	2.68E-07
1198.7	1.5048	2.65E-07
1214	1.5047	2.63E-07
1229.3	1.5045	2.6E-07
1244.6	1.5043	2.57E-07
1259.9	1.5041	2.55E-07
1275.1	1.5039	2.52E-07
1290.4	1.5037	2.5E-07
1305.5	1.5036	2.47E-07
1320.7	1.5034	2.45E-07
1335.8	1.5032	2.42E-07
1351	1.503	2.4E-07
1366	1.5028	2.38E-07
1381.1	1.5027	2.35E-07
1396.1	1.5025	2.33E-07
1411.2	1.5023	2.31E-07
1426.1	1.5021	2.29E-07
1441.1	1.5019	2.27E-07
1456	1.5018	2.25E-07
1471	1.5016	2.23E-07
1485.8	1.5014	2.21E-07
1500.7	1.5012	2.19E-07
1515.5	1.5011	2.17E-07
1530.3	1.5009	2.15E-07
1545.1	1.5007	2.14E-07
1559.9	1.5005	2.12E-07
1574.6	1.5003	2.1E-07
1589.3	1.5002	2.08E-07
1604	1.5	2.07E-07
1618.7	1.4998	2.05E-07
1633.3	1.4996	2.03E-07
1647.9	1.4994	2.02E-07
1662.5	1.4993	2E-07
1677	1.4991	1.99E-07
1691.6	1.4989	1.97E-07
1706.1	1.4987	1.95E-07
1710	1.4986	0
1715	1.4985	0
1720	1.4985	0
1725	1.4984	0
1730	1.4983	0
1735	1.4983	0
1740	1.4982	0
1745	1.4981	0
1750	1.4981	0
1755	1.498	0
1760	1.4979	0
1765	1.4979	0
1770	1.4978	0
1775	1.4977	0
1780	1.4977	0
1785	1.4976	0
1790	1.4975	0
1795	1.4974	0
1800	1.4974	0
1805	1.4973	0
1810	1.4972	0
1815	1.4972	0
1820	1.4971	0
1825	1.497	0
1830	1.497	0
1835	1.4969	0
1840	1.4968	0
1845	1.4968	0
1850	1.4967	0
1855	1.4966	0
1860	1.4965	0
1865	1.4965	0
1870	1.4964	0
1875	1.4963	0
1880	1.4963	0
1885	1.4962	0
1890	1.4961	0
1895	1.496	0
1900	1.496	0
1905	1.4959	0
1910	1.4958	0
1915	1.4958	0
1920	1.4957	0
1925	1.4956	0
1930	1.4955	0
1935	1.4955	0
1940	1.4954	0
1945	1.4953	0
1950	1.4952	0
1955	1.4952	0
1960	1.4951	0
1965	1.495	0
1970	1.495	0
1975	1.4949	0
1980	1.4948	0
1985	1.4947	0
1990	1.4947	0
1995	1.4946	0
2000	1.4945	0
2005	1.4944	0
2010	1.4944	0
2015	1.4943	0
2020	1.4942	0
2025	1.4941	0
2030	1.494	0
2035	1.494	0
2040	1.4939	0
2045	1.4938	0
2050	1.4937	0
2055	1.4937	0
2060	1.4936	0
2065	1.4935	0
2070	1.4934	0
2075	1.4934	0
2080	1.4933	0
2085	1.4932	0
2090	1.4931	0
2095	1.493	0
2100	1.493	0
2105	1.4929	0
2110	1.4928	0
2115	1.4927	0
2120	1.4926	0
2125	1.4926	0
2130	1.4925	0
2135	1.4924	0
2140	1.4923	0
2145	1.4922	0
2150	1.4922	0
2155	1.4921	0
2160	1.492	0
2165	1.4919	0
2170	1.4918	0
2175	1.4918	0
2180	1.4917	0
2185	1.4916	0
2190	1.4915	0
2195	1.4914	0
2200	1.4913	0
2205	1.4913	0
2210	1.4912	0
2215	1.4911	0
2220	1.491	0
2225	1.4909	0
2230	1.4908	0
2235	1.4908	0
2240	1.4907	0
2245	1.4906	0
2250	1.4905	0
2255	1.4904	0
2260	1.4903	0
2265	1.4903	0
2270	1.4902	0
2275	1.4901	0
2280	1.49	0
2285	1.4899	0
2290	1.4898	0
2295	1.4897	0
2300	1.4897	0
2305	1.4896	0
2310	1.4895	0
2315	1.4894	0
2320	1.4893	0
2325	1.4892	0
2330	1.4891	0
2335	1.489	0
2340	1.489	0
2345	1.4889	0
2350	1.4888	0
2355	1.4887	0
2360	1.4886	0
2365	1.4885	0
2370	1.4884	0
2375	1.4883	0
2380	1.4882	0
2385	1.4882	0
2390	1.4881	0
2395	1.488	0
2400	1.4879	0
2405	1.4878	0
2410	1.4877	0
2415	1.4876	0
2420	1.4875	0
2425	1.4874	0
2430	1.4873	0
2435	1.4872	0
